id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33834132,St. Emeric - Chef's Residency,10051543,Jim,,Logan Square,41.92692,-87.6953,Entire home/apt,750,2,0,,,1,364
33835641,Bright/Spacious Apartment near Beach,4676004,Yesenia,,Rogers Park,42.0024,-87.67015,Entire home/apt,80,5,1,2019-08-05,0.61,1,6
33845847,Elegant Bridgeport Bright Master Suite w/Jacuzzi,117331227,Michael,,Bridgeport,41.83388,-87.65147,Private room,83,2,4,2019-08-04,1.04,4,362
33850648,5 Bedroom Chicago Home/6 beds + 2 xtra mattresses!,1837370,Armando,,Rogers Park,42.00197,-87.67162,Entire home/apt,180,1,2,2019-08-28,1.40,11,316
33855764,Freshly Renovated Lincoln Park Home Away from Home,129881621,Phoebe,,Lincoln Park,41.92729,-87.66743,Entire home/apt,300,1,6,2019-09-15,1.40,1,263
33858878,"Cozy Family Friendly, 3 Bedroom! Garage Parking!",52679649,Jeriah,,Bridgeport,41.84117,-87.64157,Entire home/apt,195,1,20,2019-09-11,3.87,5,16
33859390,Luxury Resort Hotel - 3 blocks from Lollapalooza,186356140,Josh,,Loop,41.87402,-87.62832,Private room,270,1,1,2019-08-04,0.60,1,0
33872370,Beautiful Chicago Views from 1BR + Balcony!,33127842,Kari,,Near North Side,41.89769,-87.63174,Entire home/apt,146,30,1,2019-07-08,0.39,21,353
33876163,"Bright, Beautiful, Spacious, just steps to beach",14609922,David,,Rogers Park,42.01763,-87.66615,Entire home/apt,85,1,16,2019-09-09,4.85,1,196
33877058,Garden unit steps to Metra to downtown Chicago,22606299,Jennifer,,Austin,41.92165,-87.80128,Private room,38,1,9,2019-09-08,3.42,1,88
33878204,Luxury Apt in Wicker Park Minutes to Downtown,11539892,Reno,,West Town,41.90089,-87.6682,Entire home/apt,104,2,1,2019-06-02,0.27,1,0
33879930,Amazing Bang for your Buck! Walk to McCormick,178356036,W.H.G.S.,,Near South Side,41.85383,-87.62412,Entire home/apt,116,1,27,2019-09-18,5.87,1,134
